id,prompt,task_type,difficulty,difficulty_bucket,required_quality,risk_level,expected_output_tokens,latency_sensitivity
pc_0536,Compare invoice processing and binary search with tradeoffs.,reasoning,0.607,medium,0.929,high,932,low
pc_0537,"Parse this invoice and return company, role, location.",extraction,0.373,medium,0.744,medium,382,high
pc_0538,"Parse this invoice and return name, email, phone.",extraction,0.288,easy,0.788,medium,351,high
pc_0539,Explain when to use Redis in production systems.,factual,0.488,medium,0.801,medium,567,medium
pc_0540,Draft a professional message about Kubernetes autoscaling.,writing,0.21,easy,0.598,low,293,high
pc_0541,Summarize pros and cons of Kafka.,summarization,0.319,easy,0.759,medium,319,high
pc_0542,Write a JavaScript function to prompt caching.,coding,0.429,medium,0.811,medium,502,medium
pc_0543,Design a multi-region release pipeline with low latency.,system_design,0.936,hard,0.97,high,1166,low
pc_0544,Write a casual email to a recruiter about multi-region failover.,writing,0.395,medium,0.663,low,462,high
pc_0545,"Given these constraints, choose the best approach and justify it: The model endpoint has variable latency and some requests need premium quality.",reasoning,0.728,hard,0.935,high,948,low
pc_0546,Summarize this document into 7 bullet points: The model endpoint has variable latency and some requests need premium quality.,summarization,0.348,easy,0.72,medium,353,high
pc_0547,"Find the bug in this TypeScript code and explain the fix: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",debugging,0.667,medium,0.9,high,666,low
pc_0548,Create a short caption for RabbitMQ.,writing,0.074,easy,0.623,low,188,high
pc_0549,"Given these constraints, choose the best approach and justify it: The team decided to ship next week but wants rollback guardrails and better monitoring.",reasoning,0.668,medium,0.948,high,981,low
pc_0550,Summarize this document into 3 bullet points: CPU usage increases after every deployment and memory is not released after requests complete.,summarization,0.336,easy,0.695,medium,478,high
pc_0551,Explain release pipeline in simple terms.,factual,0.358,medium,0.815,medium,455,medium
pc_0552,Compare Kubernetes autoscaling and vector database with tradeoffs.,reasoning,0.597,medium,0.906,high,866,low
pc_0553,"Find the bug in this Java code and explain the fix: The service receives bursty traffic, retries requests, and sometimes returns stale data.",debugging,0.696,medium,0.942,high,652,low
pc_0554,Analyze pros and cons of LLM inference router for a high-scale system.,reasoning,0.673,medium,0.915,high,1012,low
pc_0555,"Parse this invoice and return company, role, location.",extraction,0.24,easy,0.765,medium,331,high
pc_0556,Solve this math problem step by step: prompt caching.,math,0.726,hard,0.922,high,783,low
pc_0557,Fix a incorrect retry behavior in this inference system.,debugging,0.671,medium,0.91,high,776,low
pc_0558,"Extract key decisions from this meeting note: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",summarization,0.42,medium,0.698,medium,574,high
pc_0559,Rewrite this message in a casual tone: The model endpoint has variable latency and some requests need premium quality.,writing,0.241,easy,0.591,low,370,high
pc_0560,Create an architecture for system reliability optimized for latency and cost.,system_design,0.742,hard,0.966,high,1034,low
pc_0561,Create an executive summary of this multi-region failover document.,summarization,0.546,medium,0.694,medium,506,medium
pc_0562,Extract key decisions from this meeting note: The model endpoint has variable latency and some requests need premium quality.,summarization,0.365,medium,0.694,medium,530,high
pc_0563,Write a Python function to multi-region failover.,coding,0.647,medium,0.821,medium,584,medium
pc_0564,Explain the failure modes of prompt caching.,reasoning,0.715,hard,0.934,high,985,low
pc_0565,Write a Java function to system reliability.,coding,0.509,medium,0.844,medium,493,medium
pc_0566,"Rewrite this message in a concise tone: The service receives bursty traffic, retries requests, and sometimes returns stale data.",writing,0.188,easy,0.636,low,189,high
pc_0567,"Classify this support ticket and extract priority, owner, and due date: The team decided to ship next week but wants rollback guardrails and better monitoring.",extraction,0.254,easy,0.748,medium,256,high
pc_0568,"Extract company, role, location from this text and return valid JSON: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.261,easy,0.771,medium,292,high
pc_0569,Create a FastAPI endpoint that race condition.,coding,0.6,medium,0.833,medium,669,medium
pc_0570,Analyze pros and cons of binary search for a high-scale system.,reasoning,0.581,medium,0.921,high,915,low
pc_0571,"Generate unit tests for this TypeScript function: The service receives bursty traffic, retries requests, and sometimes returns stale data.",coding,0.551,medium,0.819,medium,633,medium
pc_0572,"Generate unit tests for this TypeScript function: The service receives bursty traffic, retries requests, and sometimes returns stale data.",coding,0.515,medium,0.848,medium,589,medium
pc_0573,Analyze pros and cons of birthday wish for a high-scale system.,reasoning,0.614,medium,0.924,high,959,low
pc_0574,"Design rate limiting with observability, fallback, and autoscaling.",system_design,0.785,hard,0.97,high,1020,low
pc_0575,Compare LLM inference router and URL shortener with tradeoffs.,reasoning,0.571,medium,0.928,high,937,low
pc_0576,Debug this JavaScript code that fails with deadlock: The model endpoint has variable latency and some requests need premium quality.,debugging,0.837,hard,0.959,high,784,low
pc_0577,Design a multi-region rate limiting with cost efficiency.,system_design,0.98,hard,0.97,high,1301,low
pc_0578,Generate 5 viral reel ideas about customer apology.,creative,0.302,easy,0.631,low,405,medium
pc_0579,Explain the failure modes of AI productivity.,reasoning,0.627,medium,0.878,high,987,medium
pc_0580,"Extract name, email, phone from this text and return valid JSON: The service receives bursty traffic, retries requests, and sometimes returns stale data.",extraction,0.268,easy,0.774,medium,303,high
pc_0581,Prove or disprove: invoice processing.,math,0.696,medium,0.922,high,811,low
pc_0582,Write a Rust function to customer apology.,coding,0.5,medium,0.854,medium,554,medium
pc_0583,Summarize this document into 3 bullet points: def f(items): return items[len(items)],summarization,0.347,easy,0.703,medium,345,high
pc_0584,Brainstorm names for a product about real-time chat system.,creative,0.296,easy,0.623,low,307,medium
pc_0585,Design a multi-region multi-region failover with high availability.,system_design,0.843,hard,0.966,high,1059,low
pc_0586,Create a FastAPI endpoint that multi-region failover.,coding,0.558,medium,0.809,medium,592,medium
pc_0587,"Design release pipeline with observability, fallback, and autoscaling.",system_design,0.865,hard,0.958,high,1112,low
pc_0588,Explain when to use Kubernetes autoscaling in production systems.,factual,0.467,medium,0.759,medium,496,medium
pc_0589,Extract entities from this paragraph: The model endpoint has variable latency and some requests need premium quality.,extraction,0.232,easy,0.784,medium,314,high
pc_0590,Explain when to use system reliability in production systems.,factual,0.442,medium,0.797,medium,516,medium
pc_0591,Draft a professional message about birthday wish.,writing,0.17,easy,0.6,low,310,high
pc_0592,Debug this Rust code that fails with NullPointerException: CPU usage increases after every deployment and memory is not released after requests complete.,debugging,0.655,medium,0.926,high,717,low
pc_0593,Fix a race condition in this mobile release system.,debugging,0.764,hard,0.97,high,713,low
pc_0594,Explain Kafka in simple terms.,factual,0.406,medium,0.773,medium,530,medium
pc_0595,Give a concise overview of rate limiting.,factual,0.489,medium,0.771,medium,612,medium
pc_0596,What is the difference between RabbitMQ and binary search?,factual,0.394,medium,0.778,medium,490,medium
pc_0597,Extract entities from this paragraph: The team decided to ship next week but wants rollback guardrails and better monitoring.,extraction,0.231,easy,0.746,medium,288,high
pc_0598,Analyze why this service has memory leak under load.,debugging,0.78,hard,0.917,high,728,low
pc_0599,Compare distributed cache and system reliability with tradeoffs.,reasoning,0.743,hard,0.882,high,975,medium
pc_0600,Prove or disprove: distributed cache.,math,0.726,hard,0.921,high,737,low
pc_0601,"Given these constraints, choose the best approach and justify it: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",reasoning,0.628,medium,0.944,high,884,low
pc_0602,Rewrite this message in a professional tone: CPU usage increases after every deployment and memory is not released after requests complete.,writing,0.26,easy,0.582,low,378,high
pc_0603,"Given these constraints, choose the best approach and justify it: The model endpoint has variable latency and some requests need premium quality.",reasoning,0.662,medium,0.947,high,964,low
pc_0604,Summarize this document into 7 bullet points: def f(items): return items[len(items)],summarization,0.398,medium,0.732,medium,430,high
pc_0605,Create a FastAPI endpoint that system reliability.,coding,0.55,medium,0.798,medium,519,medium
pc_0606,"Classify this support ticket and extract priority, owner, and due date: CPU usage increases after every deployment and memory is not released after requests complete.",extraction,0.243,easy,0.808,medium,343,high
pc_0607,"Parse this invoice and return action items, owners, deadlines.",extraction,0.237,easy,0.787,medium,353,high
pc_0608,Analyze pros and cons of rate limiting for a high-scale system.,reasoning,0.592,medium,0.912,high,909,low
pc_0609,Analyze why this service has incorrect retry behavior under load.,debugging,0.701,hard,0.871,high,733,low
pc_0610,"Design prompt caching with observability, fallback, and autoscaling.",system_design,0.754,hard,0.97,high,1026,low
pc_0611,Implement retry with exponential backoff in C++.,coding,0.549,medium,0.832,medium,545,medium
pc_0612,Explain rate limiting in simple terms.,factual,0.292,easy,0.813,medium,325,medium
pc_0613,Calculate RabbitMQ and explain the reasoning.,math,0.69,medium,0.967,high,744,low
pc_0614,"Classify this support ticket and extract priority, owner, and due date: The model endpoint has variable latency and some requests need premium quality.",extraction,0.314,easy,0.771,medium,446,high
pc_0615,Create a short caption for invoice processing.,writing,0.123,easy,0.618,low,300,high
pc_0616,Prove or disprove: binary search.,math,0.702,hard,0.902,high,786,low
pc_0617,Debug this Python code that fails with segmentation fault: CPU usage increases after every deployment and memory is not released after requests complete.,debugging,0.665,medium,0.899,high,617,low
pc_0618,Rewrite this message in a persuasive tone: def f(items): return items[len(items)],writing,0.185,easy,0.61,low,361,high
pc_0619,Summarize pros and cons of vector database.,summarization,0.279,easy,0.743,medium,446,high
pc_0620,Solve this math problem step by step: Kubernetes autoscaling.,math,0.765,hard,0.97,high,799,low
pc_0621,"Summarize this document into 10 bullet points: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",summarization,0.389,medium,0.689,medium,476,high
pc_0622,Rewrite this message in a warm tone: def f(items): return items[len(items)],writing,0.259,easy,0.636,low,425,high
pc_0623,"Generate unit tests for this Python function: The service receives bursty traffic, retries requests, and sometimes returns stale data.",coding,0.527,medium,0.801,medium,491,medium
pc_0624,Draft a professional message about URL shortener.,writing,0.186,easy,0.606,low,190,high
pc_0625,Calculate vector database and explain the reasoning.,math,0.635,medium,0.932,high,569,low
pc_0626,"Find the bug in this JavaScript code and explain the fix: The service receives bursty traffic, retries requests, and sometimes returns stale data.",debugging,0.68,medium,0.898,high,656,low
pc_0627,Design a scalable AI productivity for 100K requests per second.,system_design,0.788,hard,0.97,high,1084,low
pc_0628,Create an executive summary of this rate limiting document.,summarization,0.315,easy,0.73,medium,323,high
pc_0629,Write a friendly email to a recruiter about vector database.,writing,0.154,easy,0.622,low,301,high
pc_0630,Write a Python function to distributed cache.,coding,0.582,medium,0.847,medium,630,medium
pc_0631,Design a multi-region release pipeline with eventual consistency.,system_design,0.98,hard,0.969,high,1263,low
pc_0632,"Extract entities from this paragraph: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.334,easy,0.75,medium,343,high
pc_0633,Explain the failure modes of system reliability.,reasoning,0.574,medium,0.927,high,838,low
pc_0634,Find the error in this derivation: The model endpoint has variable latency and some requests need premium quality.,math,0.686,medium,0.955,high,709,low
pc_0635,Create a cinematic video prompt for Redis.,creative,0.262,easy,0.574,low,271,medium
pc_0636,Fix a memory leak in this distributed system.,debugging,0.882,hard,0.961,high,895,low
pc_0637,Create an executive summary of this URL shortener document.,summarization,0.215,easy,0.739,medium,244,high
pc_0638,"Extract company, role, location from this text and return valid JSON: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.336,easy,0.815,medium,383,high
pc_0639,Explain when to use rate limiting in production systems.,factual,0.398,medium,0.795,medium,551,medium
pc_0640,Explain when to use prompt caching in production systems.,factual,0.47,medium,0.789,medium,538,medium
pc_0641,"Classify this support ticket and extract priority, owner, and due date: The service receives bursty traffic, retries requests, and sometimes returns stale data.",extraction,0.238,easy,0.805,medium,341,high
pc_0642,"Classify this support ticket and extract priority, owner, and due date: def f(items): return items[len(items)]",extraction,0.294,easy,0.804,medium,339,high
pc_0643,Solve this math problem step by step: vector database.,math,0.833,hard,0.964,high,930,low
pc_0644,"Generate unit tests for this Python function: The service receives bursty traffic, retries requests, and sometimes returns stale data.",coding,0.516,medium,0.827,medium,528,medium
pc_0645,Solve this math problem step by step: multi-region failover.,math,0.793,hard,0.936,high,728,low
pc_0646,"Generate unit tests for this Rust function: The service receives bursty traffic, retries requests, and sometimes returns stale data.",coding,0.556,medium,0.857,medium,533,medium
pc_0647,Write a JavaScript function to release pipeline.,coding,0.536,medium,0.845,medium,622,medium
pc_0648,Write a direct email to a recruiter about distributed cache.,writing,0.333,easy,0.57,low,394,high
pc_0649,Summarize pros and cons of distributed cache.,summarization,0.405,medium,0.741,medium,555,high
pc_0650,Create a short caption for multi-region failover.,writing,0.291,easy,0.575,low,303,high
pc_0651,Implement LRU cache in JavaScript.,coding,0.482,medium,0.816,medium,597,medium
pc_0652,Find the bug in this JavaScript code and explain the fix: def f(items): return items[len(items)],debugging,0.76,hard,0.97,high,737,low
pc_0653,Draft a professional message about AI productivity.,writing,0.144,easy,0.6,low,282,high
pc_0654,Write a Java function to rate limiting.,coding,0.505,medium,0.819,medium,569,medium
pc_0655,"Summarize this document into 3 bullet points: The service receives bursty traffic, retries requests, and sometimes returns stale data.",summarization,0.306,easy,0.73,medium,473,high
pc_0656,Create a FastAPI endpoint that RabbitMQ.,coding,0.537,medium,0.788,medium,614,medium
pc_0657,"Design RabbitMQ with observability, fallback, and autoscaling.",system_design,0.773,hard,0.964,high,1054,low
pc_0658,Rewrite this message in a persuasive tone: The team decided to ship next week but wants rollback guardrails and better monitoring.,writing,0.278,easy,0.627,low,400,high
pc_0659,Find the bug in this TypeScript code and explain the fix: def f(items): return items[len(items)],debugging,0.678,medium,0.871,high,696,low
pc_0660,Give a concise overview of customer apology.,factual,0.409,medium,0.799,medium,487,medium
pc_0661,Implement retry with exponential backoff in JavaScript.,coding,0.566,medium,0.808,medium,594,medium
pc_0662,Create a FastAPI endpoint that Kafka.,coding,0.5,medium,0.835,medium,573,medium
pc_0663,Design a multi-region vector database with strong consistency.,system_design,0.875,hard,0.97,high,1104,low
pc_0664,Draft a professional message about race condition.,writing,0.393,medium,0.667,low,399,high
pc_0665,Design a multi-region LLM inference router with high availability.,system_design,0.98,hard,0.958,high,1229,low
pc_0666,Give a concise overview of race condition.,factual,0.504,medium,0.785,medium,618,medium
pc_0667,Find the bug in this Rust code and explain the fix: CPU usage increases after every deployment and memory is not released after requests complete.,debugging,0.695,medium,0.947,high,738,low
pc_0668,Write a casual email to a manager about LLM inference router.,writing,0.26,easy,0.564,low,351,high
pc_0669,Summarize pros and cons of invoice processing.,summarization,0.402,medium,0.725,medium,547,high
pc_0670,Write a Rust function to birthday wish.,coding,0.441,medium,0.838,medium,405,medium
pc_0671,Find the bug in this Java code and explain the fix: CPU usage increases after every deployment and memory is not released after requests complete.,debugging,0.683,medium,0.944,high,686,low
pc_0672,Create a FastAPI endpoint that system reliability.,coding,0.525,medium,0.794,medium,665,medium
pc_0673,Design a multi-region Kubernetes autoscaling with high availability.,system_design,0.907,hard,0.97,high,1107,low
pc_0674,Explain when to use memory leak in production systems.,factual,0.644,medium,0.777,medium,762,medium
pc_0675,Fix a cache stampede in this backend system.,debugging,0.644,medium,0.922,high,721,low
pc_0676,Create a FastAPI endpoint that Redis.,coding,0.568,medium,0.842,medium,647,medium
pc_0677,What is the difference between prompt caching and prompt caching?,factual,0.387,medium,0.815,medium,479,medium
pc_0678,What is the difference between distributed cache and URL shortener?,factual,0.422,medium,0.801,medium,543,medium
pc_0679,Compare distributed cache and invoice processing with tradeoffs.,reasoning,0.722,hard,0.883,high,1078,medium
pc_0680,"Extract invoice number, date, amount from this text and return valid JSON: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.25,easy,0.798,medium,428,high
pc_0681,Explain the failure modes of prompt caching.,reasoning,0.63,medium,0.876,high,885,medium
pc_0682,"Extract key decisions from this meeting note: The service receives bursty traffic, retries requests, and sometimes returns stale data.",summarization,0.41,medium,0.693,medium,451,high
pc_0683,Rewrite this message in a casual tone: def f(items): return items[len(items)],writing,0.125,easy,0.587,low,202,high
pc_0684,"Classify this support ticket and extract priority, owner, and due date: CPU usage increases after every deployment and memory is not released after requests complete.",extraction,0.377,medium,0.816,medium,503,high
pc_0685,Design a scalable real-time chat system for 100K requests per second.,system_design,0.796,hard,0.97,high,1064,low
pc_0686,Write a friendly email to a teammate about system reliability.,writing,0.188,easy,0.571,low,302,high
pc_0687,"Extract key decisions from this meeting note: The service receives bursty traffic, retries requests, and sometimes returns stale data.",summarization,0.277,easy,0.744,medium,449,high
pc_0688,"Extract name, email, phone from this text and return valid JSON: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.317,easy,0.778,medium,330,high
pc_0689,Compare system reliability and Kafka with tradeoffs.,reasoning,0.609,medium,0.941,high,928,low
pc_0690,Design a scalable race condition for enterprise customers.,system_design,0.86,hard,0.97,high,1096,low
pc_0691,"Rewrite this message in a persuasive tone: The service receives bursty traffic, retries requests, and sometimes returns stale data.",writing,0.13,easy,0.628,low,238,high
pc_0692,"Debug this TypeScript code that fails with deadlock: The service receives bursty traffic, retries requests, and sometimes returns stale data.",debugging,0.789,hard,0.953,high,789,low
pc_0693,Create a short caption for prompt caching.,writing,0.192,easy,0.635,low,266,high
pc_0694,Find the error in this derivation: def f(items): return items[len(items)],math,0.722,hard,0.897,high,706,low
pc_0695,Create a cinematic video prompt for memory leak.,creative,0.389,medium,0.663,low,427,medium
pc_0696,Extract entities from this paragraph: The team decided to ship next week but wants rollback guardrails and better monitoring.,extraction,0.37,medium,0.762,medium,500,high
pc_0697,Prove or disprove: URL shortener.,math,0.618,medium,0.899,high,564,low
pc_0698,Extract entities from this paragraph: The model endpoint has variable latency and some requests need premium quality.,extraction,0.335,easy,0.788,medium,403,high
pc_0699,"Summarize this document into 5 bullet points: The service receives bursty traffic, retries requests, and sometimes returns stale data.",summarization,0.338,easy,0.703,medium,323,high
pc_0700,Give a concise overview of multi-region failover.,factual,0.507,medium,0.757,medium,540,medium
pc_0701,Fix a race condition in this messaging system.,debugging,0.841,hard,0.969,high,881,low
pc_0702,Design a scalable release pipeline for 100K requests per second.,system_design,0.848,hard,0.97,high,1109,low
pc_0703,Fix a cache stampede in this backend system.,debugging,0.697,medium,0.888,high,729,low
pc_0704,"Parse this invoice and return company, role, location.",extraction,0.301,easy,0.752,medium,411,high
pc_0705,Analyze pros and cons of AI productivity for a high-scale system.,reasoning,0.703,hard,0.872,high,969,medium
pc_0706,Rewrite this message in a concise tone: def f(items): return items[len(items)],writing,0.264,easy,0.632,low,405,high
pc_0707,Compare LLM inference router and rate limiting with tradeoffs.,reasoning,0.599,medium,0.931,high,969,low
pc_0708,Rewrite this message in a friendly tone: The model endpoint has variable latency and some requests need premium quality.,writing,0.271,easy,0.568,low,336,high
pc_0709,Fix a race condition in this distributed system.,debugging,0.881,hard,0.968,high,889,low
pc_0710,Prove or disprove: binary search.,math,0.736,hard,0.963,high,810,low
pc_0711,Generate 5 viral reel ideas about real-time chat system.,creative,0.353,medium,0.612,low,382,medium
pc_0712,Explain when to use birthday wish in production systems.,factual,0.304,easy,0.751,medium,359,medium
pc_0713,Design a scalable RabbitMQ for 10M users.,system_design,0.83,hard,0.97,high,1044,low
pc_0714,Write a Java function to binary search.,coding,0.495,medium,0.819,medium,497,medium
pc_0715,"Design Kafka with observability, fallback, and autoscaling.",system_design,0.748,hard,0.943,high,1033,low
pc_0716,Explain the failure modes of RabbitMQ.,reasoning,0.633,medium,0.899,high,990,medium
pc_0717,Explain Kubernetes autoscaling in simple terms.,factual,0.308,easy,0.796,medium,471,medium
pc_0718,Summarize pros and cons of vector database.,summarization,0.393,medium,0.701,medium,445,high
pc_0719,Create a FastAPI endpoint that race condition.,coding,0.612,medium,0.798,medium,591,medium
pc_0720,Calculate vector database and explain the reasoning.,math,0.693,medium,0.934,high,785,low
pc_0721,Rewrite this message in a direct tone: CPU usage increases after every deployment and memory is not released after requests complete.,writing,0.237,easy,0.635,low,240,high
pc_0722,Write a concise email to a manager about customer apology.,writing,0.24,easy,0.625,low,329,high
pc_0723,Explain the failure modes of LLM inference router.,reasoning,0.664,medium,0.901,high,1049,low
pc_0724,Give a concise overview of AI productivity.,factual,0.439,medium,0.758,medium,506,medium
pc_0725,Prove or disprove: system reliability.,math,0.726,hard,0.968,high,747,low
pc_0726,Write a short script for a warm video about customer apology.,creative,0.278,easy,0.599,low,329,medium
pc_0727,Rewrite this message in a warm tone: The model endpoint has variable latency and some requests need premium quality.,writing,0.126,easy,0.615,low,289,high
pc_0728,Write a JavaScript function to system reliability.,coding,0.509,medium,0.839,medium,649,medium
pc_0729,Write a warm email to a recruiter about memory leak.,writing,0.267,easy,0.624,low,381,high
pc_0730,Summarize pros and cons of Kubernetes autoscaling.,summarization,0.316,easy,0.735,medium,455,high
pc_0731,Create an architecture for Redis optimized for latency and cost.,system_design,0.771,hard,0.964,high,1105,low
pc_0732,Write a direct email to a teammate about Kafka.,writing,0.176,easy,0.605,low,236,high
pc_0733,Write a Rust function to Kubernetes autoscaling.,coding,0.515,medium,0.788,medium,522,medium
pc_0734,What is the difference between distributed cache and real-time chat system?,factual,0.635,medium,0.757,medium,570,medium
pc_0735,"Parse this invoice and return name, email, phone.",extraction,0.326,easy,0.766,medium,435,high
pc_0736,Generate 10 viral reel ideas about memory leak.,creative,0.493,medium,0.686,low,519,medium
pc_0737,Design a multi-region system reliability with cost efficiency.,system_design,0.977,hard,0.97,high,1248,low
pc_0738,"Design system reliability with observability, fallback, and autoscaling.",system_design,0.721,hard,0.935,high,966,low
pc_0739,"Generate unit tests for this TypeScript function: The service receives bursty traffic, retries requests, and sometimes returns stale data.",coding,0.429,medium,0.826,medium,401,medium
pc_0740,"Design customer apology with observability, fallback, and autoscaling.",system_design,0.733,hard,0.97,high,983,low
pc_0741,Draft a professional message about binary search.,writing,0.147,easy,0.639,low,339,high
pc_0742,Write a JavaScript function to race condition.,coding,0.637,medium,0.835,medium,675,medium
pc_0743,"Extract action items, owners, deadlines from this text and return valid JSON: The service receives bursty traffic, retries requests, and sometimes returns stale data.",extraction,0.367,medium,0.755,medium,363,high
pc_0744,"Classify this support ticket and extract priority, owner, and due date: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.341,easy,0.751,medium,332,high
pc_0745,Generate unit tests for this Java function: def f(items): return items[len(items)],coding,0.49,medium,0.787,medium,536,medium
pc_0746,"Given these constraints, choose the best approach and justify it: The model endpoint has variable latency and some requests need premium quality.",reasoning,0.639,medium,0.922,high,1047,low
pc_0747,What is the difference between system reliability and Redis?,factual,0.471,medium,0.778,medium,549,medium
pc_0748,"Given these constraints, choose the best approach and justify it: The service receives bursty traffic, retries requests, and sometimes returns stale data.",reasoning,0.624,medium,0.942,high,907,low
pc_0749,"Generate unit tests for this Rust function: The service receives bursty traffic, retries requests, and sometimes returns stale data.",coding,0.553,medium,0.8,medium,595,medium
pc_0750,"Given these constraints, choose the best approach and justify it: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",reasoning,0.652,medium,0.944,high,1036,low
pc_0751,Design a multi-region real-time chat system with strong consistency.,system_design,0.945,hard,0.966,high,1177,low
pc_0752,Give a concise overview of RabbitMQ.,factual,0.425,medium,0.778,medium,566,medium
pc_0753,Implement LRU cache in C++.,coding,0.483,medium,0.786,medium,565,medium
pc_0754,Compare URL shortener and RabbitMQ with tradeoffs.,reasoning,0.527,medium,0.91,high,788,low
pc_0755,"Classify this support ticket and extract priority, owner, and due date: The model endpoint has variable latency and some requests need premium quality.",extraction,0.262,easy,0.816,medium,297,high
pc_0756,Summarize pros and cons of distributed cache.,summarization,0.471,medium,0.735,medium,432,medium
pc_0757,Analyze why this service has incorrect retry behavior under load.,debugging,0.638,medium,0.884,high,680,low
pc_0758,Find the error in this derivation: def f(items): return items[len(items)],math,0.615,medium,0.9,high,677,low
pc_0759,Fix a race condition in this mobile release system.,debugging,0.743,hard,0.896,high,823,low
pc_0760,Write a direct email to a recruiter about system reliability.,writing,0.263,easy,0.588,low,370,high
pc_0761,Design a multi-region prompt caching with high availability.,system_design,0.922,hard,0.97,high,1199,low
pc_0762,"Given these constraints, choose the best approach and justify it: The model endpoint has variable latency and some requests need premium quality.",reasoning,0.652,medium,0.938,high,946,low
pc_0763,Design a scalable customer apology for multi-region deployment.,system_design,0.949,hard,0.97,high,1240,low
pc_0764,"Extract company, role, location from this text and return valid JSON: def f(items): return items[len(items)]",extraction,0.23,easy,0.763,medium,407,high
pc_0765,Explain the failure modes of multi-region failover.,reasoning,0.714,hard,0.938,high,1064,low
pc_0766,"Parse this invoice and return action items, owners, deadlines.",extraction,0.269,easy,0.8,medium,373,high
pc_0767,"Design vector database with observability, fallback, and autoscaling.",system_design,0.78,hard,0.97,high,1089,low
pc_0768,Compare Kafka and Kafka with tradeoffs.,reasoning,0.637,medium,0.918,high,952,low
pc_0769,Create a cinematic video prompt for multi-region failover.,creative,0.404,medium,0.61,low,458,medium
pc_0770,Brainstorm names for a product about distributed cache.,creative,0.438,medium,0.65,low,421,medium
pc_0771,Explain the failure modes of vector database.,reasoning,0.652,medium,0.885,high,925,medium
pc_0772,Fix a memory leak in this distributed system.,debugging,0.813,hard,0.965,high,834,low
pc_0773,"Parse this invoice and return invoice number, date, amount.",extraction,0.328,easy,0.809,medium,429,high
pc_0774,Write a TypeScript function to Redis.,coding,0.484,medium,0.854,medium,602,medium
pc_0775,Explain the failure modes of distributed cache.,reasoning,0.724,hard,0.878,high,1109,medium
pc_0776,Design a scalable RabbitMQ for 100K requests per second.,system_design,0.726,hard,0.921,high,1079,low
pc_0777,Explain prompt caching in simple terms.,factual,0.36,medium,0.764,medium,526,medium
pc_0778,Design a multi-region Kubernetes autoscaling with cost efficiency.,system_design,0.898,hard,0.97,high,1225,low
pc_0779,Create a FastAPI endpoint that rate limiting.,coding,0.497,medium,0.81,medium,623,medium
pc_0780,Create a short caption for Kafka.,writing,0.185,easy,0.627,low,387,high
pc_0781,Calculate rate limiting and explain the reasoning.,math,0.725,hard,0.894,high,791,low
pc_0782,Calculate URL shortener and explain the reasoning.,math,0.609,medium,0.949,high,563,low
pc_0783,Extract key decisions from this meeting note: CPU usage increases after every deployment and memory is not released after requests complete.,summarization,0.347,easy,0.715,medium,445,high
pc_0784,"Extract name, email, phone from this text and return valid JSON: The team decided to ship next week but wants rollback guardrails and better monitoring.",extraction,0.349,easy,0.789,medium,442,high
pc_0785,Create a short caption for vector database.,writing,0.179,easy,0.58,low,251,high
pc_0786,Create an architecture for distributed cache optimized for latency and cost.,system_design,0.948,hard,0.958,high,1248,low
pc_0787,Implement topological sort in Rust.,coding,0.511,medium,0.792,medium,504,medium
pc_0788,Extract entities from this paragraph: The model endpoint has variable latency and some requests need premium quality.,extraction,0.369,medium,0.778,medium,420,high
pc_0789,Implement topological sort in Rust.,coding,0.477,medium,0.844,medium,551,medium
pc_0790,Create a cinematic video prompt for Kafka.,creative,0.252,easy,0.577,low,372,medium
pc_0791,Fix a incorrect retry behavior in this inference system.,debugging,0.665,medium,0.919,high,691,low
pc_0792,Write a friendly email to a customer about Redis.,writing,0.186,easy,0.572,low,226,high
pc_0793,"Given these constraints, choose the best approach and justify it: The team decided to ship next week but wants rollback guardrails and better monitoring.",reasoning,0.68,medium,0.881,high,1105,medium
pc_0794,Create a short caption for invoice processing.,writing,0.137,easy,0.635,low,181,high
pc_0795,Summarize pros and cons of customer apology.,summarization,0.349,easy,0.726,medium,488,high
pc_0796,Write a concise email to a recruiter about system reliability.,writing,0.189,easy,0.582,low,305,high
pc_0797,Design a multi-region LLM inference router with eventual consistency.,system_design,0.887,hard,0.97,high,1182,low
pc_0798,Write a professional email to a customer about race condition.,writing,0.383,medium,0.667,low,502,high
pc_0799,Create an executive summary of this Kafka document.,summarization,0.322,easy,0.705,medium,362,high
pc_0800,Analyze pros and cons of URL shortener for a high-scale system.,reasoning,0.561,medium,0.93,high,995,low
